"Tabla","Filas","Columnas","ClavePrimaria"
"VPresupuestosLin","468838","147","nLinea"
"VDatosLinDetDis","196267","48","nLinId"
"VConceptosMO","62812","6","nRegistro"
"EstructurasArticulos","61674","129","nLin"
"ArticulosPVP","58076","8","Articulo|Acabado|Tarifa"
"gaRegistroAccionBBDD","39903","13","id"
"VOpcionesHerraje","25335","6","TipoDoc|nDoc|nLinEstr|Conjunto|nOpcion"
"ArticulosCoste","24716","21","Articulo|Proveedor|Acabado"
"EstructurasDiseño","18603","81","nLin"
"ArticulosLB","17650","9","nLin"
"ConjuntosAsoc","17006","40","nLin"
"ConjuntosDescuentos","15537","6","Conjunto|Familia|GrupoPrinc|Grupo|TipoHoja"
"VDatosLinEstr","10752","47","nLinId"
"VOpciones","8150","11","TipoDoc|nDoc|nLinEstr|CodEstr|OPCgrupo|nModulo"
"VCerramientosPI","7957","7","nLinea"
"ConfigSeriesHerraje","6622","10","Serie|NombreAcc"
"VDatosDiseño","6558","223","nLinea"
"TDRegistro","6080","6","id"
"ConfigSeriesCotas","4378","3","Serie|NombreCota"
"VCerramientosLin","4103","44","nLinea"
"ConjuntosLin","3744","4","Conjunto|Componente|Familia"
"Articulos","3120","235","Codigo"
"ArticulosDatosAuxiliares","3119","95","Articulo"
"VAccesorios","3093","40","nLin"
"VPresupuestos","2335","152","Id"
"ArticulosSubFam","2250","4","Articulo|Familia|Subfamilia"
"VDespunteDetalle","2212","13","nLinea"
"ConjuntosOpcionesHerraje","1406","12","Conjunto|nOpcion"
"ConjuntosDescuentosDif","1230","6","Conjunto|GrupoPrinc|Grupo|TipoHoja|idPerAdPrinc"
"ConfigSeriesHerrajeDesc","1206","2","NombreAcc"
"TAcristalamientoLin","1098","7","nLinea"
"VDocumentosControl","1089","7","TipoDoc|nVDoc"
"ArticulosPrecioTablaPVP","1083","8","Articulo|Acabado|Tarifa|Ancho|Largo"
"ClientesObras","1037","4","nObra"
"VCerramientos","843","20","id"
"gaConfig","812","5","NombreDato"
"ArticulosCosteCalculado","748","21","Articulo|TarifaCB"
"gaGrdListaConfigCampo","740","20","idPersoUsr|Campo"
