"Columna","ConValor","PctUso","Distintos","Muestra"
"DescripcionDescrAuto","18","100","18","ACABADO COMODIN PRECIOS Y DESCUENTOS | BICOLOR ANODIZADO | A..."
"Descripcion","18","100","18","ACABADO COMODIN - TODOS LOS ACABADOS -  PRECIOS Y DESCUENTOS..."
"Codigo","18","100","18","* | ABI | AN"
"TPproveedor","17","94,4","1","00013"
"TPseleccionadoSN","17","94,4","1","True"
"TarifaProvSN","17","94,4","1","True"
"DisMaderaSN","17","94,4","1","True"
"DisAccesoriosSN","17","94,4","1","True"
"DisPerfilesSN","17","94,4","1","True"
"ColorPerfil","16","88,9","12","13619151 | 986895 | 16777088"
"ColorAcc","5","27,8","5","255 | 13619151 | 16777215"
"BibliotecaSN","1","5,6","1","True"
"DivisaCoste","1","5,6","1","EUR"
"CosteCalPerimetroTE","1","5,6","1","T"
"PreciosNetosCliAcabadosDepSN","0","0","0",""
"CTEabsortividadM","0","0","0",""
"NoTonStdVentasSN","0","0","0",""
"FechaHoraAct","0","0","0",""
"TiposArticulosAcabadosDepSN","0","0","0",""
"UsuarioSN","0","0","0",""
"ValidosEstructurasAcabadosDepSN","0","0","0",""
"AcabadoRPTsn","0","0","0",""
"NoTonStdComprasSN","0","0","0",""
"Familia","0","0","0",""
"CosteCalcAcabadoBase","0","0","0",""
"ValidoCopiarCostesSN","0","0","0",""
"Observaciones","0","0","0",""
"ExportaTarSN","0","0","0",""
"DescuentosCliAcabadosDepSN","0","0","0",""
"CosteCalcAcabadoBaseSN","0","0","0",""
"CosteCalcOrdenCalculo","0","0","0",""
"FoliadoSN","0","0","0",""
"PlastSN","0","0","0",""
"OriginalSN","0","0","0",""
"BicolorSN","0","0","0",""
"Orden","0","0","0",""
"CosteCalcProvSN","0","0","0",""
"CosteCalcSN","0","0","0",""
"Coste","0","0","0",""
"PrecioLijaML","0","0","0",""
"LijadoSN","0","0","0",""
"CodProvTransf","0","0","0",""
"BCacaTap","0","0","0",""
"AcaCompRPTsn","0","0","0",""
"DisPerfAcaAcc","0","0","0",""
"TransPerimetroMin","0","0","0",""
"BCacaGuias","0","0","0",""
"BCacaJunq","0","0","0",""
"BCacaGuardaP","0","0","0",""
"BCacaCondens","0","0","0",""
"BCacaBand","0","0","0",""
