"Columna","ConValor","PctUso","Distintos","Muestra"
"Estado","17547","100","1","SIN ESTADO"
"LineaNegocio","17547","100","1","G"
"Codigo","17546","100","500","306 | 307 | 308"
"Familia","17544","100","16","001 | 050 | 002"
"TipoMetraje","17543","100","3","ML | UD | M2"
"Descripcion","17542","100","500","(**DISEÑO TIRADOR CORREDERA DERECHA APERTURA INTERIOR GENERI..."
"HojaDespieceSN","17410","99,2","1","True"
"HojaCorteSN","15840","90,3","1","True"
"TamJunqGoma","14798","84,3","74","1 | 3 | 5"
"DAgrosor","14710","83,8","38","10 | 12 | 14"
"MetrajeMinimo","14707","83,8","7","0,6 | 0,3 | 1,5"
"MetrajeMultiploLargo","14704","83,8","3","60 | 5 | 6"
"MetrajeMultiploAncho","14702","83,8","2","5 | 6"
"PesoML","14684","83,7","19","0,25 | 7,5 | 12,5"
"GrosorPesoVid","14683","83,7","18","3 | 5 | 6"
"IncrementosPrecioSN","14653","83,5","1","True"
"DAcrisSN","14652","83,5","1","True"
"DAVid2","14652","83,5","36","VLS4 | VLS5 | VLS6"
"DAautoSN","14652","83,5","1","True"
"DACam1","14652","83,5","22","CAM10 | CAM10A | CAM12"
"DAArtBase","14652","83,5","1","DABASE"
"DobladoraSN","14652","83,5","1","True"
"DAVid1","14652","83,5","36","VLS4 | VLS5 | VLS6"
"Subfamilia","2391","13,6","84","999 | CMS | SIM"
"ExportaTarSN","2387","13,6","1","True"
"StockSN","2310","13,2","1","True"
"TPproveedor","2309","13,2","3","00048 | 00001 | 00013"
"TarifaProvSN","2309","13,2","1","True"
"DimProvAcaSN","1230","7","1","True"
"HojaResSN","1085","6,2","1","True"
"BibliotecaSN","497","2,8","1","True"
"PVPCeroEstrSN","374","2,1","1","True"
"GenericoSN","323","1,8","1","True"
"CompFlamCdadTaponesPorLama","292","1,7","1","1"
"Componente","225","1,3","225","126 | 127 | 128"
"EtiquetaSN","125","0,7","1","True"
"HojaPrepSN","113","0,6","1","True"
"AcaLijaNCaras","89","0,5","1","1"
"Usuario","69","0,4","1","Administrador"
"DAcompTipo","59","0,3","3","C | V | B"
"DAcompDescrDA","59","0,3","58","10 | 10 ARGON | 12"
"DAcomponenteSN","59","0,3","1","True"
"DAcompCodDA","58","0,3","57","10 | 10A | 12"
"DAorden","58","0,3","36","5 | 6 | 7"
"HojaArtSN","43","0,2","1","True"
"CosteLBsn","42","0,2","1","True"
"FechaHoraAct","39","0,2","1","24/05/2022 8:31:32"
"TronzadoraSN","37","0,2","1","True"
"AlturaPerfil","22","0,1","6","40 | 45 | 30"
"UsuarioSN","7","0","1","True"
"ProveedorHab","3","0","3","00050 | 00001 | 00049"
"CompFTGuiaDerEA","3","0","1","E"
"CompFTGuiaEA","3","0","1","E"
"PrecioTablaSN","2","0","1","True"
"PVPErroneoEstrSN","2","0","1","True"
"vidValorU","1","0","1","1,1"
"ptNoMedSupSN","1","0","1","True"
"Perimetro","1","0","1","19"
"CosteCalculadoSN","1","0","1","True"
"OptiActStCPedSN","1","0","1","True"
"MetMultBaseL","1","0","1","5"
"vidFactorSolar","1","0","1","42,8"
"OptimizaM2SN","1","0","1","True"
"TarifaTransformacion","1","0","1","1"
"Embalaje","0","0","0",""
"centroHerrCodigoArt","0","0","0",""
"VolDimFondo","0","0","0",""
"cotaAlaCanalHerraje","0","0","0",""
"VolUdsEmbAncho","0","0","0",""
"VoldUdsEmbAlto","0","0","0",""
"VolUdsEmbFondo","0","0","0",""
"VolDimAlto","0","0","0",""
"VolumenCalcularSN","0","0","0",""
"VolDimAncho","0","0","0",""
"CentroHerrajesSN","0","0","0",""
"ptSoloMedTablaLargoSN","0","0","0",""
"ptSoloMedTablaAnchoSN","0","0","0",""
"tldDtoAdEje","0","0","0",""
"TTcalculoPedFabSN","0","0","0",""
"tldDtoAdLona","0","0","0",""
"CLAgetTarGrpAsTarSN","0","0","0",""
"CLAtarifa","0","0","0",""
"AvisoMsg","0","0","0",""
"CLAtipoDto","0","0","0",""
"CompFTamCajGuiaInf","0","0","0",""
"CLAgrpAsTarSN","0","0","0",""
"DAcalcPVPCompMargenEspSN","0","0","0",""
"rptProveedor","0","0","0",""
"StContObligaImputarVPedSN","0","0","0",""
"pvpTipoProv","0","0","0",""
"AliasExportacion","0","0","0",""
"CompFguiNoDtoSecCarpSN","0","0","0",""
