Columna,ConValor,PctUso,Distintos,Muestra
nLin,27952,100,1000,"489716 | 489717 | 489718"
Articulo,27920,99.9,301,"MOCOL | PSILMO6-17 | PSILMO10-17"
Cantidad,27814,99.5,28,"1 | 5 | 10"
CantidadCorte,27764,99.3,28,"1 | 5 | 2"
TipoCorte,27387,98,4,"!! | /\ | !\"
FormulaLargo,27286,97.6,321,"L | L-CAJ+0 | A"
DisIdPerAdSup,27175,97.2,1,"-1"
DisIdPerAdInf,27175,97.2,1,"-1"
DisIdPerAdIz,27175,97.2,1,"-1"
DisIdPerAdDe,27175,97.2,1,"-1"
LargoCorteCurva,27153,97.1,58,"-1 | 1000 | 400"
DisComponente,26976,96.5,147,"12 | 11 | 10"
Estructura,26353,94.3,519,"COM002 | COM003 | U"
id,26320,94.2,121,"1 | 2 | 3"
FormulaLargoCorte,26188,93.7,275,"L | L-CAJ+0 | A"
DisIdPerAd,26098,93.4,3,"-1 | 3 | 6"
Funcion,25717,92,110,"MOCOL | ACC_REC | ACC_MOTOR1"
PosicionTrabajo,25327,90.6,3,"L | A | H"
DisTipoHoja,24653,88.2,69,"-1 | 1 | 2"
DisGrupoD,23281,83.3,34,"E | MV | MH"
DisGrupoI,23279,83.3,32,"E | MV | MH"
AnguloI,23197,83,30,"90 | 45 | 6,818146"
AnguloD,23197,83,30,"90 | 45 | 6,818146"
DisIdIt,20247,72.4,64,"1 | 4 | 5"
DismoVP,19257,68.9,3,"V | B | P"
DisGrupo,18985,67.9,60,"MV | MH | C"
DisIdRefLargo,18888,67.6,76,"1 | 3 | 9"
DisFRefLargo,18845,67.4,231,"REF | (REF)/2 | A"
incrH,16061,57.5,2,"2 | 1"
TipoDoc,12689,45.4,3,"VPRES | VALB | VFAC"
nDoc,12689,45.4,200,"771 | 772 | 188"
nLinEstr,12689,45.4,402,"276237 | 276323 | 276324"
DisIdHoja,11340,40.6,21,"-1 | 2 | 3"
DisNHoja,10724,38.4,7,"1 | 2 | 3"
DisManoID,9962,35.6,2,"D | I"
DisPosPerf,9803,35.1,6,"IZ | DE | SUP"
DisTipoHuecoV,8374,30,4,"-1 | 3 | 4"
DisVidrio,7028,25.1,85,"41 | 1 | 18"
DisTipoHuecoH,5765,20.6,4,"-1 | 1 | 2"
FormulaAncho,4787,17.1,111,"A+CVI+CVD | A | A+CVI-CGC"
FormulaAnchoCorte,4787,17.1,111,"A+CVI+CVD | A | A+CVI-CGC"
DisGrupoAdicional,3577,12.8,3,"B | HVL | HVC"
DisGrupoAdOp,2026,7.2,4,"2 | 3 | 4"
DisIdRefAncho,1988,7.1,56,"3 | 9 | 10"
DisGrupoInf,1838,6.6,22,"MH | TMP | HP"
DisGrupoSup,1827,6.5,20,"MH | TMP | HP"
DisGrupoAd2,1775,6.4,3,"B3 | HVC | HVL"
DisFRefAncho,1768,6.3,59,"REF | (REF)/2 | (REF)/3"
DisTipoCurva,1202,4.3,4,"8 | 1 | 5"
OPCformulaSelec,434,1.6,26,"G10O0 | G10O2 | G10O3"
Acabado_ESTR_FIJO_ASOC_VINC,296,1.1,2,"ESTR | FIJO"
Acabado,293,1,6,"V | VS | L"
AcabadoFijo,293,1,6,"V | VS | L"
AcabadoFijoTonalidad,293,1,1,"*"
DisGrupoAdIndep,212,0.8,2,"4HE | 4HC"
Intervalo,210,0.8,4,"100 | 250 | 60"
Radio,173,0.6,28,"600 | 570 | 515"
AsociadoAId,154,0.6,53,"8 | 10 | 16"
AsociadoAFormula,154,0.6,6,"L | (L)/2 | 770"
DisGrupoAd3,128,0.5,2,"B3 | *4"
DisVidBarrArtic,117,0.4,1,"BI"
DisVidBarrHoriz,111,0.4,5,"1 | 2 | 4"
DisVidBarrVert,106,0.4,6,"1 | 2 | 3"
DisOperacionEquiV,22,0.1,3,"2 | 3 | 4"
DisGrupoEquiExtV,22,0.1,3,"FL3 | FL | MV"
DisGrupoEquiCentro,21,0.1,1,"TFF"
OPCsn,4,0,1,"True"
OPCnGrupo,4,0,1,"1"
OPCnOpcion,4,0,4,"2 | 4 | 3"
OPCtexto,4,0,4,"INF | DCHA | IZDA"
OPCtitulo,4,0,1,"Posición"
OPCpredetSN,1,0,1,"True"
DirVeta,0,0,0,""
StFabricadoSN,0,0,0,""
AsociadoA,0,0,0,""
MedidaMin,0,0,0,""
MedidaMax,0,0,0,""
UnidadesMin,0,0,0,""
UnidadesMax,0,0,0,""
OPCNOselecUsrSN,0,0,0,""
OPCNOdescrAutoSN,0,0,0,""
DisOperacionEquiH,0,0,0,""
CompFcdadPanyoSN,0,0,0,""
CompFNoCargoIncrSN,0,0,0,""
AcabadoVinculadoSN,0,0,0,""
AcaVinFuncion,0,0,0,""
AcaVinSustituyeSN,0,0,0,""
FormulaCdad,0,0,0,""
FormulaCdadCorte,0,0,0,""
FormulaCdadTipoRed_EXC_DEF,0,0,0,""
IntervalosMultSN,0,0,0,""
Subestructura,0,0,0,""
CategoriaAca,0,0,0,""
NoComputarCosteSN,0,0,0,""
FormulaCdadNumeroDec,0,0,0,""
Orden,0,0,0,""
Seccion,0,0,0,""
Comentario,0,0,0,""
CantidadIntervalosSN,0,0,0,""
MedidasIntervalosSN,0,0,0,""
OPCnOrden,0,0,0,""
CalcEtiqCorte,0,0,0,""
CalcEtiqCorteNumFijo,0,0,0,""
NoComputarVentaSN,0,0,0,""
LonaConfeccionadaSN,0,0,0,""
LonaArticuloMedLona,0,0,0,""
LonaOpcionCortePaños_ABC,0,0,0,""
LonaOpcionCortePañosDesdeGrupoOpc,0,0,0,""
LonaIncrementoDobladillo,0,0,0,""
LonaIncrementoSolapePaños,0,0,0,""
DisGrupoEquiExtH,0,0,0,""
LonaSinConfeccionSN,0,0,0,""
FiltroAcabadoAComparar,0,0,0,""
FiltroAcabados,0,0,0,""
FiltroFamiliasAcabados,0,0,0,""
ComputaFiltroPesoSN,0,0,0,""
FiltroPesoSN,0,0,0,""
PesoDesde,0,0,0,""
PesoHasta,0,0,0,""
FormulaMedidaMinMax2,0,0,0,""
MedidaMin2,0,0,0,""
MedidaMax2,0,0,0,""
ForzarTonalidadSN,0,0,0,""
ForzarTonalidad,0,0,0,""
NoInsertarSiCantidadCeroSN,0,0,0,""
lstSubfamiliasPresentes,0,0,0,""
lstSubfamiliasTipoFiltro,0,0,0,""
ProduccionSeccion,0,0,0,""
FiltroAcabadoCategoria,0,0,0,""
MecanizadoSN,0,0,0,""
AlmacenConsumoOF,0,0,0,""
NoConsumirEnOFTipoDoc,0,0,0,""
