Columna,ConValor,PctUso,Distintos,Muestra
IdLinea,383,100,383,"01245c5b-3ab2-4dd3-ab1d-14b1c4047790 | 016135f5-cf44-4109-9a"
Estructura,383,100,24,"COM016 | COM012 | COM003"
AnguloIzquierdo,383,100,2,"90 | 45"
AnguloDerecho,383,100,2,"90 | 45"
TipoLinea,383,100,1,"Articulo"
Acabado_ESTR_FIJO_ASOC_VINC,383,100,1,"ESTR"
Funcion,381,99.5,22,"COMPVAL | ACC_MOTOR2 | ACC_MOTOR5"
Articulo,353,92.2,40,"COM016 | PSILMO10-17 | PSOXIMOIO10-17"
Cantidad,344,89.8,5,"1 | 5 | 15"
CantidadCorte,344,89.8,5,"1 | 5 | 15"
FormulaSeleccionOpciones,338,88.3,22,"G1O0 | G10O3 | G10O6*G1O1"
FormulaLargo,85,22.2,5,"L | L-CAJ+0 | A"
FormulaLargoCorte,85,22.2,5,"L | L-CAJ+0 | A"
FormulaAncho,45,11.7,3,"A+CVI+CVD | CGC+CVD | A+CVI-CGC"
FormulaAnchoCorte,45,11.7,3,"A+CVI+CVD | CGC+CVD | A+CVI-CGC"
TipoCorte,40,10.4,2,"!! | /\"
Orden,0,0,0,""
Comentario,0,0,0,""
FormulaCantidad,0,0,0,""
CantidadNumeroDecimales,0,0,0,""
CantidadRedondeo,0,0,0,""
FormulaCantidadCorte,0,0,0,""
CantidadNumeroDecimalesCorte,0,0,0,""
CantidadRedondeoCorte,0,0,0,""
CorteIgualQueValoracion,0,0,0,""
IdCES,0,0,0,""
UnidadesMin,0,0,0,""
UnidadesMax,0,0,0,""
FormulaMedidaMinMax,0,0,0,""
MedidaMin,0,0,0,""
MedidaMax,0,0,0,""
Subestructura,0,0,0,""
NoComputarCoste,0,0,0,""
NoComputarVenta,0,0,0,""
FiltroAcabadoAComparar,0,0,0,""
FiltroAcabados,0,0,0,""
FiltroFamiliasAcabados,0,0,0,""
ComputaFiltroPesoSN,0,0,0,""
FiltroPesoSN,0,0,0,""
PesoDesde,0,0,0,""
PesoHasta,0,0,0,""
FormulaMedidaMinMax2,0,0,0,""
MedidaMin2,0,0,0,""
MedidaMax2,0,0,0,""
NoInsertarSiCantidadCeroSN,0,0,0,""
CodigoMOConcepto,0,0,0,""
AcabadoFijo,0,0,0,""
AcabadoFijoTonalidad,0,0,0,""
CategoriaAca,0,0,0,""
lstSubfamiliasPresentes,0,0,0,""
lstSubfamiliasTipoFiltro,0,0,0,""
CantidadIntervalosSN,0,0,0,""
IntervalosMultSN,0,0,0,""
MedidasIntervalosSN,0,0,0,""
FiltroAcabadoCategoria,0,0,0,""
AlmacenConsumoOF,0,0,0,""
NoConsumirEnOFTipoDoc,0,0,0,""
