"Columna","ConValor","PctUso","Distintos","Muestra"
"Nombre","32","100","31","FAMILIA COMODIN - TODAS LAS FAMILIAS -  PRECIOS Y DESCUENTOS..."
"Codigo","32","100","32","* | 001 | 002"
"LineaNegocio","31","96,9","1","G"
"TPseleccionadoSN","29","90,6","1","True"
"PVPTipoCosteConSinGastos","29","90,6","1","SinGastos"
"BibliotecaSN","27","84,4","1","True"
"TarifaProvSN","25","78,1","1","True"
"TPproveedor","25","78,1","2","00013 | 00048"
"TipoMargenCV","21","65,6","1","C"
"CalculoPVP","18","56,2","1","MAX"
"Margen1","16","50","6","85 | 80 | 55"
"ExportaTarSN","14","43,8","1","True"
"OrdenEscap","12","37,5","6","1 | 2 | 3"
"VPresTotalPresSN","10","31,2","1","True"
"VPresTotalLineaSN","10","31,2","1","True"
"Margen2","9","28,1","5","80 | 75 | 55"
"RestarDtoSN","9","28,1","1","True"
"Margen3","9","28,1","5","75 | 70 | 55"
"MultiplesSeriesSN","4","12,5","1","True"
"PedidosAutoSN","3","9,4","1","True"
"Margen4","3","9,4","3","55 | 65 | 50"
"PedidosAutoOptSN","2","6,2","1","True"
"CalcDespunteSN","2","6,2","1","True"
"Margen7","1","3,1","1","60"
"Margen8","1","3,1","1","60"
"Margen6","1","3,1","1","60"
"ProveedorHabitual","1","3,1","1","00050"
"UsuarioSN","1","3,1","1","True"
"Margen5","1","3,1","1","60"
"BloqueoPVPsn","0","0","0",""
"CuentaContabGastos","0","0","0",""
"VidRepREcosteKg","0","0","0",""
"PedidosAutoNoAgruparSN","0","0","0",""
"CuentaContabGastosSN","0","0","0",""
"VidRepercutirREcosteSN","0","0","0",""
"ProdWebNoMostrarEnCatalogoSN","0","0","0",""
"FechaHoraAct","0","0","0",""
"VidRecCurCarp3R","0","0","0",""
"PedidosAutoAgruparRefVentaSN","0","0","0",""
"CPedTipoPedidoML","0","0","0",""
"VidRecCurCosteSN","0","0","0",""
"VidCosteREprovSN","0","0","0",""
"CCreaPedProveedor","0","0","0",""
"CCreaPedTipoProveedor","0","0","0",""
"VidRecCurReb","0","0","0",""
"VidRecCurMP","0","0","0",""
"VidRecCurCirc","0","0","0",""
"VidRecCurCarp2R","0","0","0",""
"VPresOrdenTotFam","0","0","0",""
"GrupoHDesp","0","0","0",""
"ImportadaSN","0","0","0",""
"MargenTipoArtSN","0","0","0",""
"SeleccionEstrSN","0","0","0",""
"ManufSN","0","0","0",""
"VidRecCurForma","0","0","0",""
"VidFactorPesoMM","0","0","0",""
"VidCalculaPesoSN","0","0","0",""
"TarifaAvanzadaSN","0","0","0",""
"CuentaContabVentas","0","0","0",""
"CuentaContabSN","0","0","0",""
"CuentaContabCompras","0","0","0",""
"CuentaContabComprasSN","0","0","0",""
