"Columna","ConValor","PctUso","Distintos","Muestra"
"Nombre","8","100","8","[omitido: datos de terceros]"
"Codigo","8","100","8","[omitido: datos de terceros]"
"DiasVtoMaxAjusta","7","87,5","1","[omitido: datos de terceros]"
"REMetMinConf","6","75","1","[omitido: datos de terceros]"
"RecEnerg_ACT_DESC","6","75","1","[omitido: datos de terceros]"
"RedondeoPrecio","4","50","1","[omitido: datos de terceros]"
"TipoRemesa","4","50","1","[omitido: datos de terceros]"
"RedondeoLinea","4","50","1","[omitido: datos de terceros]"
"RedondeoTotal","4","50","1","[omitido: datos de terceros]"
"DecimalesDto","3","37,5","1","[omitido: datos de terceros]"
"BibliotecaSN","3","37,5","1","[omitido: datos de terceros]"
"Direccion","2","25","2","[omitido: datos de terceros]"
"Telefono","2","25","2","[omitido: datos de terceros]"
"CP","2","25","2","[omitido: datos de terceros]"
"Provincia","2","25","1","[omitido: datos de terceros]"
"Poblacion","2","25","2","[omitido: datos de terceros]"
"Contacto","2","25","2","[omitido: datos de terceros]"
"NombreComercial","2","25","2","[omitido: datos de terceros]"
"CuentaContable","1","12,5","1","[omitido: datos de terceros]"
"TransformacionSN","1","12,5","1","[omitido: datos de terceros]"
"eMail","1","12,5","1","[omitido: datos de terceros]"
"PersonaFisicaJuridica","1","12,5","1","[omitido: datos de terceros]"
"Usuario","1","12,5","1","[omitido: datos de terceros]"
"Pais","1","12,5","1","[omitido: datos de terceros]"
"NIF","1","12,5","1","[omitido: datos de terceros]"
"Fax","1","12,5","1","[omitido: datos de terceros]"
"TipoIVAserieSN","0","0","0","[omitido: datos de terceros]"
"CP2","0","0","0","[omitido: datos de terceros]"
"BIC","0","0","0","[omitido: datos de terceros]"
"DescuentosCMNacaSN","0","0","0","[omitido: datos de terceros]"
"Web","0","0","0","[omitido: datos de terceros]"
"TipoNacionalidad","0","0","0","[omitido: datos de terceros]"
"AnulaIVAenArticulosSN","0","0","0","[omitido: datos de terceros]"
"DivisaImprimir","0","0","0","[omitido: datos de terceros]"
"eMailPedidos","0","0","0","[omitido: datos de terceros]"
"CPedTipoPedidoPredefinido","0","0","0","[omitido: datos de terceros]"
"DivisaCPED","0","0","0","[omitido: datos de terceros]"
"DivisaCALB","0","0","0","[omitido: datos de terceros]"
"DivisaCFAC","0","0","0","[omitido: datos de terceros]"
"CondicionResidencia","0","0","0","[omitido: datos de terceros]"
"DomiciliacionSN","0","0","0","[omitido: datos de terceros]"
"VidRepREcosteKg","0","0","0","[omitido: datos de terceros]"
"TransPrecioPlast","0","0","0","[omitido: datos de terceros]"
"TransTipoPrecioPlast_ML_SUP","0","0","0","[omitido: datos de terceros]"
"Provincia2","0","0","0","[omitido: datos de terceros]"
"NoActStockCPedTransSN","0","0","0","[omitido: datos de terceros]"
"RecEnergMinEspSN","0","0","0","[omitido: datos de terceros]"
"RecEnergMinEsp","0","0","0","[omitido: datos de terceros]"
"DescuentosCMNsn","0","0","0","[omitido: datos de terceros]"
"CDocAcaSinCosteSN","0","0","0","[omitido: datos de terceros]"
"Poblacion2","0","0","0","[omitido: datos de terceros]"
"RecEnergCalcularEn","0","0","0","[omitido: datos de terceros]"
"ProdWebIntegraLoginEMail","0","0","0","[omitido: datos de terceros]"
"ProdWebIntegraTokenIntegracion","0","0","0","[omitido: datos de terceros]"
"ProdWebIntegraUltimaDescarga","0","0","0","[omitido: datos de terceros]"
