"Columna","ConValor","PctUso","Distintos","Muestra"
"Serie","439","100","1","[omitido: datos de terceros]"
"Numero","439","100","439","[omitido: datos de terceros]"
"ClientePot_CLI_POT","439","100","1","[omitido: datos de terceros]"
"Tarifa","439","100","1","[omitido: datos de terceros]"
"Usuario","439","100","1","[omitido: datos de terceros]"
"Divisa","439","100","1","[omitido: datos de terceros]"
"Estado","439","100","2","[omitido: datos de terceros]"
"Fecha","439","100","127","[omitido: datos de terceros]"
"Id","439","100","439","[omitido: datos de terceros]"
"BloqueoNumeroLineaSN","439","100","1","[omitido: datos de terceros]"
"TipoIVA","439","100","3","[omitido: datos de terceros]"
"RetTipo","439","100","1","[omitido: datos de terceros]"
"TipoMedHM","438","99,8","1","[omitido: datos de terceros]"
"TipoRemesa","438","99,8","2","[omitido: datos de terceros]"
"FormaPago","438","99,8","2","[omitido: datos de terceros]"
"Delegacion","438","99,8","1","[omitido: datos de terceros]"
"BaseImponible","436","99,3","431","[omitido: datos de terceros]"
"ImporteTotal","436","99,3","431","[omitido: datos de terceros]"
"Subtotal","436","99,3","431","[omitido: datos de terceros]"
"RetBase","436","99,3","431","[omitido: datos de terceros]"
"IVAPorc","435","99,1","1","[omitido: datos de terceros]"
"IVA","432","98,4","426","[omitido: datos de terceros]"
"Obra","427","97,3","379","[omitido: datos de terceros]"
"CliNombre","424","96,6","252","[omitido: datos de terceros]"
"EntregadoSN","418","95,2","1","[omitido: datos de terceros]"
"FechaEntrega","418","95,2","122","[omitido: datos de terceros]"
"SeriesNumNLin","406","92,5","1","[omitido: datos de terceros]"
"SeriesNumPrefijo","406","92,5","1","[omitido: datos de terceros]"
"CliNIF","209","47,6","103","[omitido: datos de terceros]"
"CliPais","209","47,6","1","[omitido: datos de terceros]"
"Cliente","209","47,6","104","[omitido: datos de terceros]"
"CliPoblacion","208","47,4","14","[omitido: datos de terceros]"
"CliCP","208","47,4","29","[omitido: datos de terceros]"
"CliDireccion","208","47,4","102","[omitido: datos de terceros]"
"CliProvincia","208","47,4","5","[omitido: datos de terceros]"
