Formula,Usos,Longitud
"L",23084,1
"REF",10288,3
"A",9187,1
"(A)/2",4985,5
"(REF)/2",1640,7
"(A)/3",1562,5
"L-FS",1480,4
"0",1466,1
"(A)/4",1427,5
"L-FI",1383,4
"18",1320,2
"(A)/6",1271,5
"L-850",1091,5
"L-300",807,5
"L-900",793,5
"FI",664,2
"L-FS-FI",651,7
"FS",623,2
"(REF)/3",563,7
"REF-FS",548,6
"REF-FI",545,6
"(REF)/4",499,7
"600",497,3
"(REF)/6",496,7
"21",452,2
"REF-850",409,7
"((A)/2)/2",358,9
"L-250",351,5
"L-200",337,5
"REF-300",323,7
"300",305,3
"REF-900",299,7
"(A-FI-FD)/2",273,11
"850",255,3
"REF-FS-FI",252,9
"700",250,3
"(A-TD)/2",240,8
"(A)/5",227,5
"TD",198,2
"200",195,3
"A-FI-FD",194,7
"(L)/2",157,5
"REF-250",139,7
"FD",138,2
"REF-200",132,7
"L-950",129,5
"A-F",126,3
"900",123,3
"1",121,1
"((REF)/2)/2",112,11
"1000",109,4
"L-400",109,5
"L-600",107,5
"(L)/4",106,5
"(L)/3",100,5
"II",98,2
"A-FZ",97,4
"L-700",83,5
"(REF-TD)/2",80,10
"ZO",73,2
"(A-FZ-FD)/2",73,11
"(REF-FI-FD)/2",70,13
"A-II",68,4
"650",67,3
"L-VS",66,4
"(A-FD)/2",65,8
"A-FI",64,4
"FZ",62,2
"950",56,3
"250",56,3
"DV",54,2
"A-300",51,5
"L-DV",50,4
"(A)/7",50,5
"(A-300-300)/2",49,13
"VS",48,2
"F",48,1
"L-120",48,5
"(900)/2",48,7
"REF-950",48,7
"L-130",45,5
"L+CAJ+2*30,00",44,13
"A+2*30,00",44,9
"L-ZO",44,4
"770",44,3
"1540-770",44,8
"L-500",44,5
"(A-FD-FZ)/2",43,11
"A-150",42,5
"500",41,3
"(REF)/5",40,7
"LB",40,2
"REF-400",40,7
"REF-600",40,7
"A-FD",37,4
"450",35,3
"REF-FI-FD",35,9
"A-FD-FZ",34,7
"REF-F",34,5
"L-CAJ+0",32,7
"L-140",32,5
"400",32,3
"A-LB",32,4
"A-TD",32,4
"L-450",32,5
"REF-700",31,7
"515",30,3
"L-230",30,5
"1400",30,4
"(A-TI-TD)/2",28,11
"(REF-FZ-FD)/2",28,13
"570",27,3
"(A-FD-FI)/2",27,11
"1005",26,4
"L-200-200",26,9
"(A-FI)/2",25,8
"1140",24,4
"460",24,3
"REF-VS",24,6
"REF-FZ",24,6
"REF-II",24,6
"(REF-FD)/2",24,10
"285",24,3
"A-600-700",24,9
"REF-ZO",23,6
"800",23,3
