"Informe","NumTablas","Tablas"
"VCPFnoConformidad.rpt","0",""
"VCPFrecogida.rpt","0",""
"vcosterpd.rpt","0",""
"VCPFmaquina.rpt","0",""
"vdetalle.rpt","0",""
"vdetres.rpt","0",""
"VDetVEfCob.rpt","0",""
"VDetGrupoD.rpt","0",""
"VDetGrupoP.rpt","0",""
"VCosteEfac.rpt","0",""
"vcosteepd.rpt","0",""
"vcostee.rpt","0",""
"vcosteeal.rpt","0",""
"VCosteFac.rpt","0",""
"vcosteral.rpt","0",""
"VCosteRfac.rpt","0",""
"vcostepd.rpt","0",""
"vcoster.rpt","0",""
"VEtiqTpteA.rpt","0",""
"VEtiqTpteD.rpt","0",""
"vetiqD.rpt","0",""
"vetiqP.rpt","0",""
"VEtiqUdD.rpt","0",""
"vfaccli.rpt","0",""
"VFacCliTrim.rpt","0",""
"VEtiqUdP.rpt","0",""
"VExtractoCli.rpt","0",""
"VEtiqCEcompletoD_TEC_89X49.rpt","0",""
"VEtiqCEcompletoP.rpt","0",""
"VentasPend.rpt","0",""
"VEtiqCEcompletoD.rpt","0",""
"VEtiqCEeevD.rpt","0",""
"VEtiqCEreducidoD_TEC_40X25.rpt","0",""
"VEtiqCEreducidoP.rpt","0",""
"VEtiqCEeevP.rpt","0",""
"VEtiqCEreducidoD.rpt","0",""
"UTTconsumo.rpt","0",""
"UTTetiqManual.rpt","0",""
"UtillajeMovInd.rpt","0",""
"UTTCarga.rpt","0",""
"UTTetiqManualLin.rpt","0",""
"UTTrelojDia.rpt","0",""
"UTTrelojObra.rpt","0",""
"UTTLoteCorte.rpt","0",""
"UTTPedFabrL.rpt","0",""
"tdregistro.rpt","0",""
"Tonalidades.rpt","0",""
"subfam.rpt","0",""
"TarifasDef.rpt","0",""
"Trabajador.rpt","0",""
"UtillajeInst.rpt","0",""
"UtillajeMov.rpt","0",""
"TrabSeccion.rpt","0",""
"Utillaje.rpt","0",""
"vcobcli.rpt","0",""
"vcobvto.rpt","0",""
"vAlbInf.rpt","0",""
"vcobban.rpt","0",""
"VComLiq.rpt","0",""
"vcoste3.rpt","0",""
"vcosteal.rpt","0",""
"vcoste.rpt","0",""
"vcoste2.rpt","0",""
"UTTUdsFabr.rpt","0",""
"UTTUdsFabrPed.rpt","0",""
"UTTrelojTrab.rpt","0",""
"UTTretribucion.rpt","0",""
"UTTUdsFabrTrab.rpt","0",""
"Valbaran.rpt","0",""
"Valbasv.rpt","0",""
"UTTUdsFabrTrabDia.rpt","0",""
"vactstock.rpt","0",""
"vfacdet.rpt","0",""
"vpedpcli.rpt","0",""
"vpedpend.rpt","0",""
"VPedInf.rpt","0",""
"VPedInfDet.rpt","0",""
"VPedStUbicDet.rpt","0",""
"VPresCEcaracteristicas.rpt","0",""
"VPresCEconformidad.rpt","0",""
"vpedsv.rpt","0",""
"vpedtipo.rpt","0",""
"vpeddart.rpt","0",""
"VPedDArt_STOCK.rpt","0",""
"VPedCTEficha1.rpt","0",""
"VPedCTEficha2.rpt","0",""
"vpeddestr.rpt","0",""
"VPedHPrep.rpt","0",""
"vpedido.rpt","0",""
"vpedDib.rpt","0",""
"vpedDibsv.rpt","0",""
"vrecibo.rpt","0",""
"vremesa.rpt","0",""
"vpresupInf.rpt","0",""
"vreccta.rpt","0",""
"vreparto.rpt","0",""
"vriesgo.rpt","0",""
"VRiesgoGlobal.rpt","0",""
"vrepartoVPed.rpt","0",""
"VRepVehiculo.rpt","0",""
"VPresCTEficha2.rpt","0",""
"vpresdib.rpt","0",""
"vprescp.rpt","0",""
"VPresCTEficha1.rpt","0",""
"vpresfam.rpt","0",""
"vprestip.rpt","0",""
"vpresup.rpt","0",""
"vpresmem.rpt","0",""
"vpressv.rpt","0",""
"vhcm2det.rpt","0",""
"vhcm2Resto.rpt","0",""
"vhcestrpGrp.rpt","0",""
"vhcm2.rpt","0",""
"VHControlProdD.rpt","0",""
"vhdespd.rpt","0",""
"vhdespdgrp.rpt","0",""
"vhcorte.rpt","0",""
"vhcorteg.rpt","0",""
"Vfactura.rpt","0",""
"VFacturaAseg.rpt","0",""
"VFacInfDet.rpt","0",""
"vfactu2.rpt","0",""
